,Unnamed: 0,callsign,number,icao24,registration,typecode,origin,destination,firstseen,lastseen,day,latitude_1,longitude_1,altitude_1,latitude_2,longitude_2,altitude_2,ident,type,name,elevation_ft,iso_country,iso_region,municipality,iata_code,local_code,coordinates
267,1029941,ASA682,AS682,a262ad,N253AK,B739,KSEA,KDEN,2019-01-16 00:05:28+00:00,2019-01-16 02:16:09+00:00,2019-01-16 00:00:00+00:00,47.434495828919495,-122.31114314152651,304.8,39.8871677204714,-104.6869506835938,1577.34,KDEN,large_airport,Denver International Airport,5431.0,US,US-CO,Denver,DEN,DEN,"-104.672996521, 39.861698150635"
268,1029966,AAL996,AA996,aaaa92,N787AL,B772,SAEZ,KDFW,2019-01-16 00:06:12+00:00,2019-01-16 10:56:09+00:00,2019-01-16 00:00:00+00:00,-34.82652049953657,-58.51181030273438,0.0,32.92538452148438,-97.05069580078124,182.88,KDFW,large_airport,Dallas Fort Worth International Airport,607.0,US,US-TX,Dallas-Fort Worth,DFW,DFW,"-97.038002, 32.896801"
269,1030119,ASA1959,AS1959,a2e621,N286VA,A320,KSAN,KSFO,2019-01-16 00:09:38+00:00,2019-01-16 01:25:52+00:00,2019-01-16 00:00:00+00:00,32.73632502151748,-117.2006350147481,0.0,37.63394165039062,-122.3627423225565,114.3,KSFO,large_airport,San Francisco International Airport,13.0,US,US-CA,San Francisco,SFO,SFO,"-122.375, 37.61899948120117"
273,1030207,AAL1855,AA1855,a9d807,N733UW,A319,KCLT,KDCA,2019-01-16 00:11:46+00:00,2019-01-16 01:02:22+00:00,2019-01-16 00:00:00+00:00,35.241999222060386,-80.93265614611032,609.6,38.81227654925847,-77.0338134765625,121.92,KDCA,large_airport,Ronald Reagan Washington National Airport,15.0,US,US-DC,Washington,DCA,DCA,"-77.037697, 38.8521"
275,1030411,AAL1785,AA1785,a10614,N165US,A321,KPHL,KPBI,2019-01-16 00:15:56+00:00,2019-01-16 02:20:39+00:00,2019-01-16 00:00:00+00:00,39.847644870564096,-75.2939453125,304.8,26.82265459480932,-79.96795067420373,861.0600000000002,KPBI,large_airport,Palm Beach International Airport,19.0,US,US-FL,West Palm Beach,PBI,PBI,"-80.09559631347656, 26.68320083618164"
282,1030737,AAL889,AA889,a9034c,N680AW,A320,KPHX,KAUS,2019-01-16 00:23:14+00:00,2019-01-16 02:07:17+00:00,2019-01-16 00:00:00+00:00,33.430801391601555,-112.02440185546872,304.8,30.23268127441406,-97.67987419577209,198.12,KAUS,large_airport,Austin Bergstrom International Airport,542.0,US,US-TX,Austin,AUS,AUS,"-97.6698989868164, 30.194499969482422"
284,1030906,UAL842,UA842,a31a2d,N29961,B789,YSSY,KLAX,2019-01-16 00:27:09+00:00,2019-01-16 13:43:12+00:00,2019-01-16 00:00:00+00:00,-33.94258660785226,151.1750221252441,0.0,33.927829548463976,-118.4753036499023,281.94,KLAX,large_airport,Los Angeles International Airport,125.0,US,US-CA,Los Angeles,LAX,LAX,"-118.407997, 33.942501"
285,1030998,AAL166,AA166,a033ae,N112AN,A321,KSFO,KJFK,2019-01-16 00:29:37+00:00,2019-01-16 05:22:39+00:00,2019-01-16 00:00:00+00:00,37.61480712890625,-122.3602879301031,304.8,40.65032958984375,-73.7508544921875,7.62,KJFK,large_airport,John F Kennedy International Airport,13.0,US,US-NY,New York,JFK,JFK,"-73.7789, 40.639801"
289,1031085,ASA435,AS435,a5ec61,N481AS,B739,KSJC,KSEA,2019-01-16 00:32:03+00:00,2019-01-16 02:09:59+00:00,2019-01-16 00:00:00+00:00,37.35891723632812,-121.9226463804854,0.0,47.45847023139565,-122.31797438401442,152.4,KSEA,large_airport,Seattle Tacoma International Airport,433.0,US,US-WA,Seattle,SEA,SEA,"-122.308998, 47.449001"
293,1031682,DAL472,DL472,ab1979,N814NW,A333,SBGR,KJFK,2019-01-16 00:46:18+00:00,2019-01-16 10:14:47+00:00,2019-01-16 00:00:00+00:00,-23.42298889160156,-46.44170587713069,609.6,40.61273089909957,-73.73804959383881,198.12,KJFK,large_airport,John F Kennedy International Airport,13.0,US,US-NY,New York,JFK,JFK,"-73.7789, 40.639801"
294,1031789,UAL1837,UA1837,a8d4cc,N66831,B739,KEWR,KAUS,2019-01-16 00:49:04+00:00,2019-01-16 04:26:29+00:00,2019-01-16 00:00:00+00:00,40.66195678710938,-74.1817626953125,304.8,30.23279222391419,-97.6798828125,182.88,KAUS,large_airport,Austin Bergstrom International Airport,542.0,US,US-TX,Austin,AUS,AUS,"-97.6698989868164, 30.194499969482422"
